role,bus.number.2014,bus.number.2016,bus.fte.2014,bus.fte.2016,gov.number.2014,gov.number.2016,gov.fte.2014,gov.fte.2016,hed.number.2014,hed.number.2016,hed.fte.2014,hed.fte.2016
researcher,7800.0,9300.0,6100.0,6900.0,2500.0,2400.0,2000.0,1900.0,10500.0,10700.0,3100.0,3300.0
student.researcher,,,,,,,,,16600.0,16400.0,11900.0,12800.0
technician,4300.0,4400.0,3000.0,2700.0,1100.0,1500.0,760.0,1300.0,2100.0,2000.0,760.0,730.0
support.staff,1900.0,1700.0,1000.0,920.0,630.0,470.0,530.0,400.0,4000.0,4900.0,1000.0,1300.0
total,14000.0,16000.0,10000.0,11000.0,4200.0,4500.0,3300.0,3500.0,33200.0,34000.0,16700.0,16700.0
