institution,inst.category,total.fte,total.number,res.staff.fte,res.staff.number,student.fte,student.number,tech.fte,tech.number,other.fte,other.number,nesi.learner.2017,nesi.learner.2016,nesi.learner.2015,nesi.learner.2013,nesi.training.2016,nesi.training.2015
AgResearch,cri,767.00,685.00,230.24,245.00,0.00,0.00,174.40,200.00,240.00,240.00,,,,,,
ESR,cri,351.00,386.00,,316.52,0.00,0.00,,,,,,,,,,
GNS Science,cri,369.00,361.00,257.00,257.00,0.00,0.00,63.00,63.00,104.00,,,7.00,,,,
Landcare,cri,331.00,338.00,146.00,163.00,0.00,0.00,70.00,75.00,100.00,100.00,,11.00,5.00,,,
NIWA,cri,594.00,634.00,243.54,243.00,0.00,0.00,219.78,219.78,130.68,130.68,,21.00,,1.00,,
PFR,cri,805.00,877.00,602.00,635.00,0.00,0.00,,,242.00,,,52.00,1.00,1.00,,
Scion,cri,283.00,283.00,,,0.00,0.00,,,,,15.00,15.00,,,,
other,otherinst,,,,,0.00,0.00,,,,,16.00,14.00,,2.00,,
